1	0.000000000	VMware_c0:00:08	Broadcast	ARP	60	Who has 192.168.222.2? Tell 192.168.222.1
2	0.216668975	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 9e9836a8-23ea-4a10-840f-df49c990e920.local, "QM" question
3	0.216965315	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 9e9836a8-23ea-4a10-840f-df49c990e920.local, "QM" question
4	0.219694031	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 2cb06c47-b1a5-47de-a062-b7d4b4f94be3.local, "QM" question
5	0.219694791	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 2cb06c47-b1a5-47de-a062-b7d4b4f94be3.local, "QM" question
6	0.563074051	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 811fb490-bce4-424c-b8fc-14c3798ed4a3.local, "QM" question
7	0.563074619	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 811fb490-bce4-424c-b8fc-14c3798ed4a3.local, "QM" question
8	0.567143131	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A e6ceab19-dc0d-4cb1-9cd0-e8c856aee824.local, "QM" question
9	0.567143802	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A e6ceab19-dc0d-4cb1-9cd0-e8c856aee824.local, "QM" question
10	1.727122636	192.168.222.131	34.107.221.82	TCP	54	43064 → 80 [ACK] Seq=1 Ack=1 Win=64024 Len=0
11	1.727393466	34.107.221.82	192.168.222.131	TCP	60	[TCP ACKed unseen segment] 80 → 43064 [ACK] Seq=1 Ack=2 Win=64240 Len=0
12	3.615226743	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A cdd3007c-83b2-4590-9a3c-7232d9c4ae50.local, "QM" question
13	3.615227379	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A cdd3007c-83b2-4590-9a3c-7232d9c4ae50.local, "QM" question
14	4.102443803	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A efb338f8-a11f-4d94-8b29-473603d5882c.local, "QM" question
15	4.102444341	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A efb338f8-a11f-4d94-8b29-473603d5882c.local, "QM" question
16	4.103830353	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A e2935af5-84b9-485e-bf11-5a463e7a9d1b.local, "QM" question
17	4.103830808	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A e2935af5-84b9-485e-bf11-5a463e7a9d1b.local, "QM" question
18	5.414111633	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 8333ab3a-2812-4f73-9aea-e4c1aa628361.local, "QM" question
19	5.414111988	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 8333ab3a-2812-4f73-9aea-e4c1aa628361.local, "QM" question
20	5.415826786	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 366fc742-f478-4bf1-a918-cb2d4f4d8a2d.local, "QM" question
21	5.415827295	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 366fc742-f478-4bf1-a918-cb2d4f4d8a2d.local, "QM" question
22	6.031277777	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 00749f5b-3bc2-47a9-b022-13a4b751b7e4.local, "QM" question
23	6.031278201	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 00749f5b-3bc2-47a9-b022-13a4b751b7e4.local, "QM" question
24	6.075190444	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 7501a4d4-8577-4ec9-be5c-dd1a7376809a.local, "QM" question
25	6.075436244	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 7501a4d4-8577-4ec9-be5c-dd1a7376809a.local, "QM" question
26	6.086434233	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 7cd78dd0-8f08-492a-b3e4-4b1b4c3782fe.local, "QM" question
27	6.086434693	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 7cd78dd0-8f08-492a-b3e4-4b1b4c3782fe.local, "QM" question
28	6.323875666	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 576cbed9-bdb0-4277-99b6-1f6383d485e1.local, "QM" question
29	6.323876117	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 576cbed9-bdb0-4277-99b6-1f6383d485e1.local, "QM" question
